id,accident_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_type,casualty_home_area_type,accident_severity,day_of_week,time,road_type,speed_limit,junction_detail,junction_control,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,vehicle_type,vehicle_manoeuvre,vehicle_location_restricted_lane,junction_location,hit_object_in_carriageway,hit_object_off_carriageway,first_point_of_impact,journey_purpose_of_driver,sex_of_driver,age_band_of_driver,age_of_vehicle,driver_home_area_type
393406,2006230696042,1,1,1,2,5,3,9,1,3,4,08:46,3,70,0,-1,0,0,1,1,1,0,0,2,9,11,0,0,0,0,1,2,2,5,1,1
394741,200630A000427,1,1,1,1,4,3,19,1,3,5,12:25,6,30,3,4,0,0,1,-1,1,0,0,1,19,3,0,1,0,0,2,1,1,4,2,1
396047,200630C000053,1,1,1,1,5,3,9,1,3,4,07:46,6,40,0,-1,0,0,1,1,2,0,0,1,9,17,9,0,10,2,3,2,1,5,7,1
396575,200630C000417,1,1,1,2,4,2,9,2,2,1,02:55,6,60,0,-1,0,0,4,1,2,0,0,2,9,17,0,0,0,0,4,-1,2,4,7,2
398241,200630D000926,1,1,1,2,5,3,9,3,3,5,13:45,6,30,3,4,0,0,1,1,1,0,0,1,9,17,0,8,0,0,4,1,2,5,1,3
399617,20063102A3520,1,1,3,1,-1,3,0,-1,3,6,14:45,2,30,0,-1,0,0,1,1,1,0,0,1,9,18,0,0,0,0,4,-1,2,8,2,1
399968,20063102B0934,1,1,1,2,5,3,2,1,3,1,11:37,6,30,0,-1,0,0,1,2,2,0,0,2,2,17,0,0,0,0,2,-1,2,5,-1,1
401808,20063102C3100,1,1,1,1,4,3,9,1,3,3,23:44,6,30,0,-1,0,0,4,8,2,0,0,1,9,16,1,0,0,10,3,-1,1,4,1,1
404888,200632B388006,1,1,3,2,8,1,0,-1,1,5,18:11,6,60,6,4,0,0,6,1,1,0,0,2,9,18,0,8,0,0,1,2,1,4,13,3
405042,200632C002006,1,1,1,2,9,3,9,3,3,5,23:05,6,60,0,-1,0,0,6,8,4,0,0,2,9,17,0,0,0,0,0,-1,2,9,-1,3
407448,2006330600243,1,1,3,2,4,3,0,-1,3,6,17:45,6,30,0,-1,0,0,4,1,2,0,0,1,5,4,0,0,0,0,1,2,1,8,5,1
407729,2006330600897,1,1,1,1,8,2,5,3,2,3,18:35,6,60,1,4,0,0,4,1,2,6,0,2,5,18,0,1,10,0,3,-1,1,8,0,3
408392,2006330602602,1,1,3,1,6,2,0,1,2,6,01:30,6,30,2,4,0,0,4,1,1,0,0,1,8,5,0,2,0,0,0,-1,1,6,7,-1
416985,2006350456606,1,1,1,1,9,1,5,2,1,5,10:30,6,60,0,-1,0,0,1,1,1,0,0,2,5,16,0,0,0,0,1,-1,1,9,3,2
418252,2006360033951,1,1,3,2,3,3,0,1,3,6,15:18,6,30,0,-1,0,4,1,1,1,0,0,1,9,18,0,0,0,0,4,-1,1,11,8,1
418899,2006360035337,1,1,1,2,7,3,9,3,3,3,13:53,6,40,3,4,0,0,1,1,1,0,0,1,9,9,0,6,0,0,1,2,2,7,9,3
419099,2006360035728,2,1,1,2,4,3,9,-1,3,6,13:10,6,40,3,4,0,0,1,1,1,0,0,2,9,10,0,8,0,0,2,2,2,4,-1,-1
419886,2006360037096,1,2,2,2,7,3,9,2,3,7,17:19,6,40,0,-1,0,0,1,2,2,0,0,2,9,6,0,0,0,0,3,-1,1,6,-1,2
423780,200637L012779,3,3,2,1,8,3,9,1,3,2,11:00,6,30,3,4,0,0,1,1,1,0,0,2,9,18,0,1,0,0,2,-1,1,8,1,1
424674,200640B019030,2,2,2,2,9,3,9,2,3,7,16:40,6,30,0,-1,0,4,1,1,1,0,0,1,9,3,0,0,0,0,2,-1,1,10,1,2
428305,20064100D0313,2,2,1,1,6,3,11,1,3,5,23:14,6,50,1,4,0,0,4,1,1,0,0,1,11,4,0,1,0,0,3,1,1,6,8,1
428864,20064100E0415,1,1,2,1,7,3,21,1,3,3,11:30,1,40,1,4,0,0,1,1,1,0,0,1,21,17,0,8,10,10,4,1,1,7,-1,-1
430531,20064100K0014,2,1,1,2,4,3,9,1,3,7,23:30,6,30,3,4,0,0,4,1,1,0,0,1,9,9,0,6,0,0,1,-1,2,4,3,1
431113,20064100T1164,1,1,1,2,6,3,9,1,3,2,20:27,3,70,0,0,0,0,4,1,1,0,0,2,9,11,0,0,0,9,0,2,2,6,-1,1
434594,200642H015005,2,3,1,1,7,2,9,1,2,6,16:40,3,30,6,4,0,0,1,1,1,0,0,1,9,18,0,8,0,0,1,-1,1,7,-1,1
435591,200642I320907,2,1,1,2,4,3,9,1,3,6,12:30,3,30,5,4,0,0,1,1,1,0,0,2,9,3,0,1,0,0,2,-1,2,4,3,1
440384,200643N221056,1,2,2,1,8,3,9,1,3,1,15:28,7,70,5,4,0,0,1,2,2,0,0,2,9,16,0,7,0,10,1,-1,1,9,-1,1
446325,200643S091116,2,1,1,2,8,3,9,1,3,7,13:00,6,60,1,4,0,0,1,1,1,0,0,2,9,3,0,1,0,0,2,1,2,8,6,1
446727,200643S162106,2,2,2,1,8,3,8,1,3,6,21:45,6,30,3,4,0,0,4,1,1,0,0,2,8,18,0,1,0,0,3,1,1,9,-1,1
447980,200643W207016,2,1,1,1,5,3,9,1,3,7,13:56,6,30,0,-1,0,1,1,2,2,0,0,1,9,18,0,0,0,0,2,-1,1,5,13,1
449805,2006440067086,2,1,1,2,5,3,1,1,3,1,18:55,6,30,0,-1,0,0,4,1,2,0,0,1,1,18,0,0,0,0,1,-1,2,5,-1,1
450770,2006440148320,3,2,1,2,9,3,9,1,3,6,10:30,3,70,5,4,0,0,1,1,1,0,2,1,9,18,0,8,0,0,4,-1,2,9,4,1
456361,200645EL90940,1,1,1,1,10,2,1,-1,2,6,10:30,3,40,0,-1,0,0,1,1,1,4,0,1,1,18,0,0,10,0,1,-1,1,10,-1,-1
459741,200645SP80630,2,3,2,2,10,3,9,1,3,7,17:21,1,30,1,4,0,8,4,1,1,0,0,2,9,9,0,3,0,0,1,-1,1,10,2,1
460351,200645SU82152,5,3,1,1,5,2,9,-1,2,7,14:58,6,40,3,4,0,0,1,1,1,0,0,1,9,18,0,2,0,0,1,-1,1,5,1,-1
465339,2006460124963,2,1,1,2,8,3,9,1,3,3,17:00,6,30,9,4,0,0,1,2,2,0,0,1,9,2,0,1,0,0,0,-1,2,8,-1,1
