id,accident_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_type,casualty_home_area_type,accident_severity,day_of_week,time,road_type,speed_limit,junction_detail,junction_control,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,vehicle_type,vehicle_manoeuvre,vehicle_location_restricted_lane,junction_location,hit_object_in_carriageway,hit_object_off_carriageway,first_point_of_impact,journey_purpose_of_driver,sex_of_driver,age_band_of_driver,age_of_vehicle,driver_home_area_type
685050,200742I096603,2,1,1,2,6,3,9,1,3,6,12:00,6,30,0,0,2,1,1,1,1,0,0,1,9,3,0,0,0,0,1,-1,2,6,5,1
687626,200742I308708,1,1,3,2,5,3,0,1,3,6,16:00,3,50,0,0,0,1,1,1,1,0,0,1,9,18,0,0,0,0,4,-1,1,7,7,1
691865,200743N197077,1,1,1,1,5,2,5,1,2,4,07:38,1,30,1,4,0,1,1,1,1,0,0,1,5,18,0,3,0,0,1,2,1,5,4,1
694420,200743P248087,1,1,1,1,6,2,9,1,2,3,22:14,6,60,0,-1,0,0,6,1,1,0,0,2,9,17,0,0,0,0,1,2,1,6,13,1
703956,2007440356832,1,1,3,1,2,3,0,1,3,5,09:02,6,30,3,4,0,0,1,1,1,0,0,1,9,14,0,1,0,0,4,-1,1,8,17,3
705096,2007440450937,2,2,1,1,9,3,8,1,3,7,06:24,6,40,0,-1,0,0,1,1,2,0,0,1,8,5,8,0,0,0,3,1,1,9,4,1
706391,2007440550131,2,1,1,2,7,3,9,1,3,6,07:40,3,70,0,-1,0,0,1,2,2,0,0,2,9,4,0,0,0,0,2,2,2,7,5,1
706869,2007440580843,1,1,1,1,4,3,9,2,3,5,20:17,6,60,0,-1,0,0,6,8,4,0,0,2,9,16,0,0,0,4,1,-1,1,4,5,2
708289,200745GU09640,1,1,1,1,7,2,4,1,2,6,18:08,6,30,0,-1,0,0,1,1,1,0,0,1,4,18,0,0,0,0,0,-1,1,7,24,1
710516,200745SP01589,2,1,1,1,4,3,3,1,3,3,18:10,6,30,6,4,0,0,4,1,1,0,0,1,3,18,0,1,0,0,1,-1,1,4,14,1
710943,200745SU00781,1,1,3,2,3,3,0,1,3,2,17:30,6,30,0,-1,0,0,1,1,1,0,0,1,9,1,0,0,0,0,0,-1,1,10,11,1
716065,2007460141410,2,1,1,2,9,3,1,1,3,3,13:30,6,40,3,4,0,0,1,1,1,0,0,1,1,18,0,1,0,0,1,-1,2,9,-1,1
718968,2007460148332,1,1,3,2,4,3,0,-1,3,6,23:56,6,30,1,4,0,0,4,1,1,0,0,1,11,18,0,3,0,0,1,1,1,7,3,1
722175,2007470703133,1,1,1,1,9,2,9,1,2,7,19:40,6,60,0,0,0,0,1,1,1,0,0,2,9,14,0,0,0,0,1,-1,1,9,10,1
727398,200750A31A752,2,1,1,2,6,3,9,3,3,2,09:00,6,50,0,0,0,0,1,8,2,0,0,2,9,4,0,0,0,0,2,-1,2,6,5,3
728122,200750A51G727,2,2,1,1,5,3,9,2,3,5,09:55,6,60,1,4,0,0,1,1,1,0,0,2,9,18,0,1,0,0,1,-1,1,5,-1,2
730775,200750D21H476,3,1,1,1,5,3,9,1,3,6,07:05,3,70,5,4,0,0,1,1,1,0,0,2,9,18,0,1,0,0,1,-1,1,5,-1,1
732505,200750E31F213,1,1,3,2,4,3,0,1,3,3,16:40,3,30,0,0,0,4,1,1,1,0,0,1,9,-1,0,-1,0,0,0,-1,1,6,10,1
735807,2007520010661,1,1,1,1,6,2,1,-1,2,3,08:20,6,30,0,-1,0,0,1,-1,1,0,0,1,1,18,0,0,0,10,1,-1,1,6,-1,-1
742234,2007530191316,2,1,2,2,9,3,9,2,3,7,13:00,6,40,0,0,0,0,1,1,1,0,0,1,9,3,0,0,0,0,2,-1,1,9,7,2
743374,200754AH11707,3,1,1,1,8,3,9,1,3,4,07:45,6,50,0,0,0,0,1,7,1,0,0,2,9,18,0,0,0,0,1,1,1,8,1,1
744775,200754EM29707,1,1,1,1,7,3,9,3,3,7,12:01,6,60,0,0,0,0,1,1,1,0,0,2,9,13,0,0,0,10,1,-1,1,7,9,3
745854,2007557B01644,2,1,1,1,4,3,1,1,3,7,21:02,6,30,6,4,0,0,4,1,1,0,0,1,1,18,0,8,0,0,3,-1,1,4,-1,1
749254,2007600CO5018,1,1,1,2,5,3,9,3,3,3,09:05,6,60,0,-1,0,0,1,2,2,0,0,2,9,16,0,0,0,0,1,1,2,5,7,3
749424,2007600CO8041,1,1,3,1,9,3,0,1,3,6,17:35,6,30,3,4,0,4,4,1,1,0,0,1,9,7,0,6,0,0,1,2,1,8,3,2
751566,200760GS30120,2,1,1,2,4,3,9,3,3,5,14:00,6,30,0,-1,0,0,1,1,1,0,0,2,9,2,0,0,0,0,1,-1,2,4,7,3
755211,2007620167251,2,3,2,1,7,3,9,1,3,4,09:30,3,70,0,-1,0,0,1,2,2,0,0,1,9,13,0,0,0,6,4,1,2,5,5,2
757004,2007620171684,2,2,1,1,6,3,9,-1,3,2,17:15,6,30,3,4,0,0,1,1,2,0,0,2,9,18,0,1,0,0,1,-1,1,6,5,-1
761151,200763DP50507,2,1,1,1,7,1,19,2,1,6,15:10,6,60,0,-1,0,0,1,2,2,0,0,2,19,18,0,0,0,0,1,1,1,7,9,2
763996,2007930001462,1,1,1,1,7,3,21,1,3,3,17:25,6,40,0,-1,0,0,1,1,1,0,0,2,21,18,0,0,0,0,4,1,1,7,7,1
765148,2007940701472,1,1,1,1,4,3,9,3,3,1,08:55,6,60,3,4,0,0,1,5,2,0,0,2,9,17,0,2,0,4,4,1,1,4,7,3
768345,2007950009614,1,1,3,1,9,3,0,-1,3,4,16:30,6,30,6,1,0,8,1,1,1,0,0,2,9,9,0,8,0,0,1,1,1,9,0,1
770580,200797CA70109,1,1,3,1,7,2,0,1,2,5,22:25,6,30,0,-1,0,5,4,2,2,0,0,1,19,18,0,0,0,0,4,-1,1,6,-1,-1
771796,200797GD00805,2,1,2,2,11,3,9,1,3,5,16:20,6,30,9,4,0,5,1,1,1,0,0,1,9,18,0,1,0,0,1,1,2,10,7,1
780321,200801CW12145,1,1,2,2,8,3,11,1,3,4,18:23,3,30,0,-1,0,1,4,1,1,0,0,1,11,4,0,0,0,0,0,1,1,7,7,-1
790103,200801MM70292,1,3,2,2,4,3,11,-1,3,4,19:51,6,30,3,4,0,5,4,1,1,0,0,1,11,5,0,8,10,10,3,1,1,7,2,-1
794145,200801QK59075,2,1,1,2,6,3,3,1,3,4,18:22,6,30,3,4,0,0,4,1,1,0,0,1,3,18,0,8,0,0,3,-1,2,6,2,1
794378,200801RG40202,1,1,3,1,3,3,0,1,3,4,08:17,6,30,0,-1,0,0,1,1,1,0,0,1,11,18,0,0,0,0,4,-1,3,-1,-1,-1
794428,200801RG40252,1,1,1,2,8,3,9,1,3,6,23:55,6,30,3,4,0,0,4,1,1,0,0,1,9,18,0,8,0,0,4,-1,2,8,9,1
801489,200801XH30322,4,2,1,2,6,2,9,1,2,3,08:11,6,30,8,4,0,0,1,1,1,0,0,1,9,18,0,8,0,0,1,-1,2,6,6,1
803419,200801YR90507,1,2,2,1,-1,3,9,-1,3,2,12:45,6,30,3,2,0,5,1,1,1,0,0,1,9,3,0,1,0,0,2,-1,1,6,-1,1
807059,2008030002734,1,1,1,1,5,3,9,1,3,1,12:38,3,70,0,-1,0,0,1,1,1,0,0,2,9,18,0,0,0,6,1,-1,1,5,5,1
808526,200804AX08101,1,1,3,1,5,2,0,1,2,6,21:30,-1,30,0,-1,0,0,1,1,1,0,0,1,18,18,1,0,0,0,4,1,1,7,-1,-1
812574,200804EB08024,2,1,1,2,7,3,9,1,3,1,12:05,6,30,3,3,0,0,1,1,1,0,0,1,9,4,0,1,0,0,2,-1,2,7,8,1
814746,200804TA08263,1,2,2,2,9,2,9,1,2,1,03:16,7,70,0,-1,0,0,6,3,2,4,0,2,9,16,0,0,0,4,1,-1,1,9,1,1
821829,200806B095799,2,1,1,2,6,3,1,1,3,5,16:30,6,30,6,2,0,5,1,1,1,0,0,1,1,18,0,1,0,0,2,-1,2,6,-1,-1
822270,200806C090618,2,1,1,1,7,3,1,1,3,3,07:06,6,30,3,4,0,0,1,1,1,0,0,1,1,18,0,2,0,0,1,-1,1,7,-1,1
824028,200806J006086,2,2,2,2,5,3,9,1,3,1,00:05,6,30,3,4,0,0,4,7,2,0,0,1,9,17,0,8,0,0,0,-1,1,6,1,1
825035,200806K088825,1,1,1,2,7,3,9,1,3,3,17:09,1,30,1,4,0,0,1,1,1,0,0,1,9,18,0,3,0,2,4,-1,2,7,-1,1
828149,200806P094658,2,1,1,2,6,3,9,1,3,3,08:50,6,30,3,2,0,5,1,1,1,0,0,2,9,2,0,2,0,0,2,3,2,6,1,1
831636,2008070135131,2,1,1,2,7,3,9,1,3,4,16:45,6,30,3,4,0,0,1,1,1,0,0,2,9,3,0,1,0,0,2,-1,2,7,-1,1
833380,2008070277904,1,1,1,1,7,2,5,1,2,7,12:41,6,60,0,0,0,0,1,1,1,0,0,2,5,17,0,0,10,0,4,-1,1,7,7,1
834315,2008070349589,3,1,1,2,7,3,9,-1,3,2,19:50,6,30,3,4,0,0,4,2,2,0,0,1,9,10,0,1,0,0,3,-1,2,7,5,1
836246,2008100232408,2,2,1,2,7,3,9,1,3,2,11:55,6,30,3,4,0,0,1,1,1,0,0,1,9,18,0,1,0,0,1,-1,2,7,4,1
836315,2008100242608,1,2,1,1,6,3,19,1,3,2,16:35,6,30,6,2,0,0,1,1,2,0,0,1,19,18,0,8,0,0,1,-1,1,6,-1,1
837460,2008100430208,2,1,1,1,8,3,9,1,3,7,14:35,1,40,1,2,0,4,1,2,2,0,0,1,9,3,0,8,0,0,2,-1,1,8,5,1
840477,2008100959408,2,1,1,1,6,2,1,1,2,6,07:45,6,30,3,4,0,0,1,1,1,0,0,1,1,18,0,8,0,0,0,1,1,6,-1,1
840481,2008100960008,2,3,2,1,4,3,9,-1,3,4,21:30,3,30,0,-1,0,0,4,2,2,0,0,1,9,18,0,0,0,6,4,-1,1,5,5,1
843158,2008120037628,1,2,2,2,4,3,9,-1,3,1,16:45,3,70,0,-1,0,0,1,1,2,0,0,2,9,18,0,0,0,0,1,-1,1,7,3,1
844250,2008120100317,1,2,2,1,6,3,5,1,2,1,11:08,6,60,6,4,0,0,1,1,1,0,0,2,5,18,0,8,0,0,4,-1,1,9,4,1
844961,2008120140867,1,1,1,1,10,2,5,1,2,2,14:00,6,30,0,-1,0,0,1,1,2,0,0,1,5,4,0,0,0,0,3,-1,1,10,8,1
846710,2008130063608,1,4,2,2,7,3,9,3,2,7,19:15,6,30,6,4,0,0,5,4,1,0,0,2,9,18,0,8,0,10,1,-1,1,7,-1,1
847483,2008130160008,1,4,2,1,9,3,11,1,3,2,16:20,6,30,3,4,0,4,1,1,1,0,0,1,11,18,0,8,0,0,0,1,2,6,7,1
848927,2008130346508,1,1,1,1,9,3,9,1,3,7,10:30,6,30,0,-1,0,0,1,1,1,0,0,1,9,18,0,0,0,0,2,-1,1,9,4,1
849605,2008130433508,2,1,1,1,8,3,9,1,3,7,21:50,6,40,6,4,0,0,7,1,1,0,0,1,9,18,0,8,0,0,0,-1,1,8,8,1
853399,2008130874708,2,1,1,1,8,3,8,1,3,4,11:40,3,30,0,-1,0,4,1,1,1,0,0,1,8,18,0,0,0,0,2,2,1,8,-1,1
854211,2008130964808,2,2,2,2,5,3,9,1,3,7,17:00,6,40,1,4,0,0,4,1,2,0,1,2,9,18,0,8,0,0,1,-1,2,5,3,1
855735,200814A025808,1,1,1,2,7,3,9,1,3,3,06:30,6,30,3,4,0,0,4,5,2,0,0,1,9,7,0,1,0,0,2,2,2,7,10,1
859203,200814G007908,1,1,1,2,5,3,9,2,3,6,15:45,6,30,0,-1,0,0,1,2,2,0,0,1,9,18,0,0,0,0,2,-1,2,5,8,2
861346,2008160A01570,2,2,1,1,8,3,9,1,3,1,13:30,6,30,0,-1,0,0,1,1,1,0,0,1,9,18,0,0,0,0,4,-1,1,8,-1,1
862553,2008160B04050,1,4,2,2,4,3,9,3,3,3,12:58,6,60,8,4,0,0,1,1,1,0,0,2,9,9,0,6,0,0,1,-1,1,4,7,3
865429,2008170L20568,2,2,1,2,6,3,9,1,3,6,19:35,6,30,3,4,0,0,4,1,2,0,0,1,9,18,0,1,0,0,1,-1,2,6,12,1
865503,2008170L22218,1,1,1,1,7,3,9,1,3,5,15:00,3,50,1,4,0,0,1,2,2,0,0,2,9,8,0,1,0,0,2,-1,1,7,1,1
867794,200820D219003,1,1,2,1,4,3,9,1,3,4,18:28,6,30,0,-1,0,0,1,2,2,0,0,1,9,16,0,0,0,2,3,-1,1,4,5,1
874743,200820K056901,1,1,1,1,6,3,9,1,3,5,20:52,3,40,0,-1,0,0,1,1,1,0,0,1,9,18,0,0,0,10,1,-1,1,6,9,1
875589,200820L067801,1,2,1,1,7,3,5,1,2,4,23:40,7,70,5,4,0,0,4,1,1,3,0,2,5,11,0,7,7,0,1,-1,1,7,1,1
884973,200822FA88040,1,1,3,2,5,3,0,-1,3,7,21:00,6,30,0,-1,0,0,4,1,1,0,0,2,9,18,0,0,0,0,1,-1,2,5,13,-1
886364,2008230890210,1,1,1,1,6,2,4,1,2,4,23:00,6,30,0,-1,0,0,4,1,2,0,0,1,4,14,0,0,0,0,1,-1,1,6,16,1
893918,20083102B0488,2,2,1,2,6,3,9,2,2,4,17:39,6,60,6,4,0,0,1,1,1,0,0,2,9,18,0,8,0,0,1,2,2,6,9,2
898154,200832B313408,1,1,1,1,4,3,3,2,3,1,07:00,1,60,1,4,0,0,1,2,2,6,0,2,3,18,0,3,10,0,1,2,1,4,0,2
902752,2008330805118,2,2,1,1,5,3,9,1,3,1,13:10,6,30,3,4,0,0,1,1,1,0,0,1,9,17,0,8,0,0,1,-1,1,5,13,1
908663,2008350288408,2,2,2,2,3,3,9,1,3,7,17:30,6,30,0,-1,0,0,1,-1,1,0,0,1,9,3,0,0,0,0,2,-1,1,9,1,1
909775,2008350805308,2,1,1,1,7,3,9,1,3,6,23:50,3,70,0,-1,0,0,4,1,2,0,0,2,9,18,0,0,0,7,2,-1,1,7,3,1
909898,2008350818708,2,2,1,2,6,3,9,-1,3,2,15:21,6,60,0,-1,0,0,1,8,4,0,0,2,9,18,0,0,0,0,1,-1,2,6,5,-1
914402,200837G024245,1,1,1,2,5,3,9,1,3,4,13:10,6,30,6,4,0,0,1,1,1,0,0,1,9,5,0,8,0,0,4,2,2,5,11,1
917019,2008400C01915,2,4,2,2,1,3,9,2,3,4,10:50,6,30,8,4,0,0,1,2,2,0,0,1,9,18,0,8,0,0,4,-1,2,7,6,2
917842,2008400D02211,2,2,1,1,4,3,9,3,3,3,13:50,6,30,8,4,0,0,1,1,1,0,0,1,9,18,0,8,0,0,1,-1,1,4,-1,3
920651,20084100F4513,2,3,2,1,4,3,9,1,2,5,19:23,6,40,3,4,0,0,1,2,2,0,0,1,9,9,0,6,0,0,3,-1,1,4,-1,1
921235,20084100G0644,1,1,1,2,7,3,9,3,3,6,13:13,6,30,6,4,0,0,1,8,2,0,0,1,9,5,0,6,0,0,1,2,2,7,6,3
921423,20084100J2182,1,1,1,2,6,2,9,1,2,2,10:20,3,70,0,0,0,0,1,1,1,0,0,2,9,18,0,0,0,4,1,1,2,6,17,1
924568,200842I159605,1,2,2,1,1,3,9,3,3,5,10:05,6,50,0,0,0,0,1,1,1,0,0,1,9,18,0,0,0,0,1,-1,1,6,4,3
931054,200843P110048,2,1,1,1,8,3,9,3,3,3,09:00,6,30,3,4,0,0,1,1,1,0,0,2,9,3,0,7,0,0,2,-1,1,8,9,3
931429,200843P168098,1,1,2,1,-1,3,9,-1,3,4,15:38,6,30,3,4,0,0,1,1,1,0,0,1,9,5,0,1,0,0,1,-1,1,7,-1,-1
934525,200843S038068,2,1,2,2,8,3,9,1,3,5,16:40,6,30,0,-1,0,0,1,1,1,0,0,1,9,3,0,0,0,0,1,-1,1,8,6,1
934557,200843S043028,1,1,1,2,8,3,1,-1,3,6,13:15,6,30,3,4,0,0,1,1,1,0,0,1,1,18,0,1,0,0,1,-1,2,8,-1,-1
934826,200843S082028,2,5,2,2,4,3,9,1,3,6,20:00,6,60,3,4,0,0,4,1,1,0,0,1,9,18,0,1,0,0,2,-1,2,7,11,1
935385,200843S168108,1,5,2,1,2,3,9,-1,2,5,11:20,3,70,0,-1,0,0,1,1,1,0,0,2,9,18,0,0,0,0,1,-1,2,6,9,1
940455,2008440339295,1,1,3,1,8,3,0,1,3,5,15:32,6,30,0,-1,0,0,1,8,1,0,0,1,9,18,0,0,0,0,3,-1,2,6,-1,-1
942573,2008440534405,2,1,1,1,9,2,9,3,2,2,16:00,6,40,0,-1,0,0,6,1,1,0,0,2,9,18,0,0,0,0,1,1,1,9,-1,3
946394,200845RU31026,1,1,1,1,5,3,9,1,3,6,22:21,1,40,1,4,0,8,4,1,2,0,0,1,9,4,0,4,7,0,1,2,1,5,8,1
946872,200845SP31571,3,3,2,2,7,3,9,1,3,4,16:22,6,30,3,2,0,4,4,2,2,0,0,2,9,3,0,1,0,0,2,-1,1,7,15,1
947309,200845SU28737,1,1,1,2,4,3,9,1,3,4,18:54,6,30,3,4,0,0,4,1,2,0,0,1,9,18,0,1,0,0,1,-1,2,4,3,1
949148,2008460055050,1,1,1,1,3,3,1,1,3,1,18:31,6,30,3,4,0,0,4,2,2,0,0,1,1,4,0,8,0,0,3,-1,1,3,-1,1
951723,2008460156761,2,1,1,1,7,3,9,3,3,2,15:30,6,60,8,4,0,0,1,1,1,0,0,2,9,3,0,1,0,0,2,-1,1,7,3,3
952264,2008460158180,2,1,1,1,9,2,5,1,2,2,12:56,2,30,5,4,0,0,1,1,1,0,0,1,5,16,0,1,0,0,3,2,1,9,7,1
953742,2008460161752,3,7,2,1,-1,3,9,-1,3,4,10:45,3,70,0,-1,0,0,1,1,1,0,0,1,9,18,0,0,0,0,2,1,1,7,-1,1
958624,2008470804554,2,1,1,2,5,3,9,1,3,6,15:45,3,30,9,2,0,5,1,1,1,0,0,1,9,4,0,1,0,10,3,-1,2,5,9,1
960366,2008470807276,2,1,1,1,4,2,5,1,2,6,08:00,3,70,0,0,0,0,1,-1,1,0,0,2,5,18,0,0,0,0,0,-1,1,4,8,1
961184,2008470808557,2,1,2,2,10,3,9,1,3,6,10:39,6,30,3,4,0,0,1,1,1,0,0,1,9,4,0,1,0,0,2,-1,1,10,5,1
966020,200850F21D163,2,3,2,1,4,3,9,-1,3,2,13:18,6,60,3,2,0,0,1,1,1,0,0,1,9,4,0,1,0,0,2,-1,1,4,11,-1
968349,200850KH3B003,1,1,1,1,7,3,9,1,3,5,06:53,3,70,0,-1,0,0,6,2,2,0,3,2,9,18,0,0,1,6,3,1,1,7,-1,1
969196,2008520802320,1,1,1,2,6,3,1,-1,3,2,20:50,6,30,3,4,0,1,4,1,1,0,0,1,1,18,0,1,0,0,3,-1,2,6,-1,-1
972455,2008520809704,1,1,1,1,6,3,9,1,3,4,20:39,6,30,3,4,0,0,6,1,1,0,0,2,9,18,0,1,0,0,1,-1,1,6,7,1
973982,2008520813123,1,1,2,2,6,3,9,-1,3,7,11:50,6,30,0,-1,0,0,1,2,2,0,0,1,9,4,0,0,0,0,2,-1,2,9,9,3
975498,2008530195968,1,1,2,2,4,3,9,3,3,7,11:30,3,70,0,0,0,0,1,2,2,0,0,2,9,15,0,0,0,0,1,-1,1,6,17,3
977375,200854EP03508,2,2,1,1,9,3,9,1,3,5,17:11,6,60,3,4,0,0,4,1,1,0,0,1,9,18,0,8,0,10,1,-1,1,9,9,1
977810,200854ET48008,1,1,1,1,4,3,9,3,3,7,19:18,6,60,0,0,0,0,6,1,2,7,0,2,9,16,0,0,0,10,1,-1,1,4,12,3
978653,2008558C02183,1,2,2,1,5,3,5,1,2,6,14:39,6,20,0,0,0,0,1,1,1,0,0,1,5,18,0,0,0,0,1,-1,1,6,9,1
980823,2008558D05726,1,3,2,1,2,3,9,1,3,1,17:00,6,60,1,4,0,0,4,1,1,0,0,2,9,3,0,4,0,0,2,1,1,7,9,1
980901,2008558E00409,1,1,1,2,5,3,9,1,2,5,08:40,6,30,3,4,0,0,1,1,1,0,0,1,9,9,0,2,0,0,3,-1,2,5,-1,1
983651,2008608203726,2,3,2,2,11,3,9,1,3,7,13:00,6,30,3,4,0,0,1,-1,1,0,0,1,9,10,0,1,0,0,2,-1,1,6,-1,1
984505,2008610021208,1,1,3,1,7,3,0,-1,3,3,17:30,6,30,0,-1,0,0,1,4,1,0,3,1,9,18,0,0,0,0,1,2,1,4,2,1
988756,2008620182672,3,3,1,2,6,3,9,1,3,5,07:50,3,30,7,2,0,0,1,2,2,0,0,2,9,18,0,1,0,0,2,1,2,6,9,1
991180,200863BC06908,1,1,1,1,7,3,9,3,3,6,14:14,6,60,0,-1,0,0,1,2,2,0,0,2,9,16,0,0,0,0,1,2,1,7,14,3
993709,2008920800669,1,1,1,1,6,3,9,1,3,1,04:30,6,60,0,-1,0,0,6,1,1,0,0,2,9,17,0,0,0,10,1,-1,1,6,-1,1
1000378,2008950011307,1,1,1,1,7,3,9,1,3,7,22:00,6,30,6,4,0,0,4,2,2,0,0,1,9,9,0,8,0,0,1,-1,1,7,-1,1
1000741,2008960801204,1,1,3,2,4,3,0,-1,3,4,15:55,3,30,0,-1,0,0,1,1,1,0,0,1,90,18,0,0,0,0,4,-1,1,4,-1,1
1007621,2008981119908,2,1,1,1,10,2,1,3,2,5,16:36,6,60,8,4,0,0,1,1,1,0,0,2,1,9,0,5,0,0,3,-1,1,10,-1,3
1008266,200901BS70165,1,1,1,1,11,3,9,1,3,1,19:05,6,30,6,4,0,0,4,1,1,0,0,1,9,1,0,2,4,1,2,-1,1,11,3,1
1016107,200901JI77098,1,1,1,1,6,2,1,1,2,7,20:16,6,30,3,2,0,5,4,1,1,0,0,1,1,18,0,8,0,0,0,1,1,6,-1,1
1023118,200901QK50376,1,2,2,1,7,2,3,-1,2,6,08:07,6,30,3,2,0,5,1,1,1,0,0,1,3,18,0,6,0,0,1,-1,1,7,8,1
1023909,200901RG40395,1,1,1,1,-1,3,9,-1,3,3,19:45,6,30,6,4,0,0,4,1,1,0,0,1,9,4,0,1,0,0,4,1,1,-1,10,-1
1025636,200901SX20731,3,2,1,1,-1,3,9,1,3,6,18:05,6,30,6,4,0,0,1,1,1,0,0,1,9,18,0,8,0,0,1,-1,1,-1,10,1
1028429,200901TX20263,2,2,1,2,4,3,9,1,3,1,12:28,3,30,0,-1,0,0,1,1,1,0,0,1,9,3,0,0,0,0,2,-1,2,4,5,1
1031248,200901XD80457,1,1,3,1,5,3,0,-1,3,7,01:10,6,30,3,4,0,0,4,1,1,0,0,1,9,18,0,1,0,0,4,-1,3,-1,-1,-1
1031707,200901XD80895,1,1,2,1,3,3,11,-1,3,4,08:00,6,30,0,-1,0,0,1,8,1,0,0,1,11,5,0,0,0,0,0,1,1,-1,-1,-1
1031834,200901XD81025,1,1,3,2,8,3,0,1,3,3,09:30,6,30,3,4,0,0,1,1,1,0,0,1,9,18,0,8,0,0,1,-1,1,9,9,1
1034902,200901ZD30313,1,1,1,2,6,3,9,1,3,4,12:55,3,30,0,-1,0,0,1,1,1,0,0,1,9,18,0,0,0,0,4,-1,2,6,8,1
1038289,200904AL09081,1,1,1,1,4,3,9,1,3,1,07:44,6,60,0,-1,0,0,1,1,1,0,0,1,9,16,0,0,0,10,1,1,1,4,-1,1
1039553,200904BA09240,1,1,1,2,4,3,9,3,3,7,14:20,6,60,6,4,0,0,1,1,2,0,0,2,9,4,0,1,0,0,1,-1,2,4,11,3
1047500,200905DD30900,1,1,2,2,10,3,11,-1,3,7,13:45,6,30,0,-1,0,0,1,1,1,0,0,1,11,2,0,0,0,0,0,1,1,9,-1,1
1047522,200905DD31101,1,1,1,2,5,3,9,1,3,1,22:00,3,60,7,2,0,0,4,2,2,0,0,2,9,3,0,1,0,0,2,-1,2,5,7,1
1049682,200905FF33494,1,2,2,2,7,3,9,1,3,2,10:08,3,40,3,2,0,0,1,1,1,0,0,1,9,12,0,1,0,0,3,-1,2,6,9,1
1049911,200906A011349,2,2,2,1,8,3,9,1,3,5,22:00,6,30,6,4,0,0,4,2,2,3,0,1,9,4,0,8,0,0,1,-1,1,10,7,-1
1059207,2009070014546,1,1,1,1,6,3,9,1,3,6,00:17,3,70,0,0,0,0,4,1,2,0,0,1,9,18,0,0,0,0,1,-1,1,6,-1,1
1060257,2009070115395,2,2,2,1,4,3,9,1,3,4,15:00,1,30,1,4,0,0,1,1,1,0,0,1,9,18,0,3,0,0,0,-1,1,7,15,1
1065178,2009100250309,2,2,1,1,7,3,9,1,3,5,13:30,6,30,6,4,0,8,1,1,1,0,0,1,9,18,0,8,0,0,1,-1,1,7,7,1
1065745,2009100345109,1,1,1,1,6,2,5,1,2,1,11:01,6,60,0,-1,0,0,1,1,1,0,0,2,5,16,0,0,0,4,1,-1,1,6,3,1
1068077,2009100719009,1,2,2,1,7,3,9,3,3,3,16:46,6,60,0,-1,0,0,6,1,2,0,0,2,9,16,0,0,0,0,1,1,1,4,7,3
1069209,2009100911709,1,1,3,1,6,2,0,-1,2,7,13:00,6,30,3,4,0,0,1,1,2,0,0,1,9,14,0,8,0,0,1,-1,1,6,6,1
1071865,2009120010221,1,1,1,1,6,3,9,1,2,2,17:50,6,60,3,4,0,0,4,2,2,0,0,2,9,9,0,8,0,0,3,2,1,6,-1,1
1071977,2009120016575,1,1,1,1,4,3,2,1,3,3,08:30,1,30,2,4,0,0,1,1,1,0,0,2,2,18,0,3,0,0,4,2,1,4,5,1
1074176,2009120169532,1,1,1,1,9,2,19,1,2,3,12:35,6,60,3,4,0,0,1,1,1,0,0,2,19,9,0,8,0,1,1,1,1,9,8,1
1081736,2009130804909,2,4,2,1,5,3,9,1,3,1,20:57,3,30,6,2,0,4,4,1,1,0,0,2,9,9,0,1,0,0,1,-1,1,5,6,1
1083339,2009130990809,1,1,2,2,7,3,9,-1,3,7,22:10,6,30,3,4,0,0,4,1,1,0,0,2,9,18,0,1,0,10,1,-1,1,-1,10,-1
1087140,200914C080609,2,1,1,1,5,3,1,1,3,1,13:10,1,40,1,4,0,0,1,1,1,0,0,1,1,18,0,4,0,0,1,-1,1,5,-1,1
1088584,200914K163309,1,1,1,2,7,3,9,1,3,7,17:05,1,30,1,2,0,0,1,1,1,0,0,1,9,18,0,4,0,0,1,-1,2,7,2,1
1089014,200914K245209,1,1,1,1,10,3,9,1,3,5,16:15,6,30,7,4,0,1,1,1,1,0,0,1,9,18,0,8,0,0,3,2,1,10,3,1
1095721,200920D181202,1,1,1,1,6,3,9,1,3,4,21:36,1,30,2,4,0,0,4,1,2,0,0,1,9,6,0,4,0,0,1,-1,1,6,9,1
1101766,200920J096801,1,1,1,1,5,3,9,1,3,2,23:30,3,40,3,2,0,5,4,1,1,0,0,1,9,4,0,1,0,7,4,2,1,5,9,1
1106901,2009219005027,2,4,2,1,5,3,9,1,3,5,19:55,6,60,0,-1,0,0,1,1,1,0,0,2,9,4,0,0,0,0,2,-1,1,5,4,3
1107440,2009219006150,1,1,2,1,4,3,9,1,3,2,03:50,3,70,0,-1,0,0,4,1,1,0,0,2,9,18,0,0,0,0,1,-1,1,6,2,1
1111651,200922E902495,2,2,1,1,7,3,9,-1,2,1,22:25,6,60,6,4,0,0,6,1,1,0,0,2,9,18,0,1,0,10,1,-1,1,7,1,-1
1117710,200930C000129,2,1,1,1,-1,3,1,1,3,7,19:36,6,30,3,4,0,0,4,1,1,0,0,1,1,18,9,6,0,0,4,-1,1,-1,-1,1
